"GeneID","SumPathogens","UniqPathogens","GeneName"
"ENSG00000120217.14",19,15,"CD274"
"ENSG00000184557.4",18,12,"SOCS3"
"ENSG00000118503.17",17,14,"TNFAIP3"
"ENSG00000134470.21",17,14,"IL15RA"
"ENSG00000148926.10",17,14,"ADM"
"ENSG00000163082.10",17,14,"SGPP2"
"ENSG00000081041.9",17,13,"CXCL2"
"ENSG00000135604.11",17,13,"STX11"
"ENSG00000135114.14",17,12,"OASL"
"ENSG00000144655.15",17,12,"CSRNP1"
"ENSG00000149289.11",17,12,"ZC3H12C"
"ENSG00000157601.15",17,12,"MX1"
"ENSG00000169429.12",17,12,"CXCL8"
"ENSG00000187608.10",17,12,"ISG15"
"ENSG00000232810.5",17,12,"TNF"
"ENSG00000275302.2",17,12,"CCL4"
"ENSG00000277089.4",17,12,"CCL3-AS1"
"ENSG00000277632.2",17,12,"CCL3"
"ENSG00000185745.10",17,11,"IFIT1"
"ENSG00000100906.12",16,13,"NFKBIA"
"ENSG00000125347.15",16,13,"IRF1"
"ENSG00000197536.11",16,13,"IRF1-AS1"
"ENSG00000267607.1",16,13,"ICAM4-AS1"
"ENSG00000023445.16",16,12,"BIRC3"
"ENSG00000087074.9",16,12,"PPP1R15A"
"ENSG00000115009.13",16,12,"CCL20"
"ENSG00000119922.11",16,12,"IFIT2"
"ENSG00000130589.16",16,12,"HELZ2"
"ENSG00000134070.5",16,12,"IRAK2"
"ENSG00000137331.12",16,12,"IER3"
"ENSG00000138642.16",16,12,"HERC6"
"ENSG00000163121.10",16,12,"NEURL3"
"ENSG00000163739.5",16,12,"CXCL1"
"ENSG00000163874.11",16,12,"ZC3H12A"
"ENSG00000172183.16",16,12,"ISG20"
"ENSG00000228318.3",16,12,"ENSG00000228318"
"ENSG00000232133.1",16,12,"IMPDH1P10"
"ENSG00000276070.5",16,12,"CCL4L2"
"ENSG00000111331.14",16,11,"OAS3"
"ENSG00000134321.13",16,11,"RSAD2"
"ENSG00000136244.12",16,11,"IL6"
"ENSG00000138646.9",16,11,"HERC5"
"ENSG00000140519.14",16,11,"RHCG"
"ENSG00000272273.3",16,11,"IER3-AS1"
"ENSG00000138166.6",16,10,"DUSP5"
"ENSG00000010818.11",15,13,"HIVEP2"
"ENSG00000226312.7",15,13,"CFLAR-AS1"
"ENSG00000253522.6",15,13,"MIR3142HG"
"ENSG00000049249.10",15,12,"TNFRSF9"
"ENSG00000077150.21",15,12,"NFKB2"
"ENSG00000078081.8",15,12,"LAMP3"
"ENSG00000090339.9",15,12,"ICAM1"
"ENSG00000099860.9",15,12,"GADD45B"
"ENSG00000115267.10",15,12,"IFIH1"
"ENSG00000116514.17",15,12,"RNF19B"
"ENSG00000117228.11",15,12,"GBP1"
"ENSG00000124882.4",15,12,"EREG"
"ENSG00000131669.10",15,12,"NINJ1"
"ENSG00000131979.20",15,12,"GCH1"
"ENSG00000132510.11",15,12,"KDM6B"
"ENSG00000140105.18",15,12,"WARS1"
"ENSG00000157557.13",15,12,"ETS2"
"ENSG00000158470.5",15,12,"B4GALT5"
"ENSG00000162645.13",15,12,"GBP2"
"ENSG00000163734.4",15,12,"CXCL3"
"ENSG00000168389.18",15,12,"MFSD2A"
"ENSG00000168394.13",15,12,"TAP1"
"ENSG00000198355.5",15,12,"PIM3"
"ENSG00000248323.8",15,12,"LUCAT1"
"ENSG00000250274.2",15,12,"ENSG00000250274"
"ENSG00000258666.1",15,12,"ENSG00000258666"
"ENSG00000259342.1",15,12,"ENSG00000259342"
"ENSG00000261618.2",15,12,"LINC02605"
"ENSG00000119917.15",15,11,"IFIT3"
"ENSG00000120129.6",15,11,"DUSP1"
"ENSG00000122641.11",15,11,"INHBA"
"ENSG00000136689.20",15,11,"IL1RN"
"ENSG00000137965.11",15,11,"IFI44"
"ENSG00000164181.14",15,11,"ELOVL7"
"ENSG00000185507.21",15,11,"IRF7"
"ENSG00000276085.1",15,11,"CCL3L1"
"ENSG00000134326.12",15,10,"CMPK2"
