GeneName,GeneID,A549_Bacteria_Spn,A549_Virus_IAV,A549_Virus_RSV,A549_Virus_SARSCoV2,B_cell_Protozoa_Pf,B_cell_Virus_EBV,B_cell_Virus_HBV,Dendritic_Bacteria_Bpe,Dendritic_Bacteria_MTB,Dendritic_Bacteria_Sau,Dendritic_Protozoa_Pf,Dendritic_Virus_HBV,Liver_Virus_HBV,Macrophages_Bacteria_Lmo,Macrophages_Bacteria_MTB,Macrophages_Bacteria_NTHi,Macrophages_Bacteria_SalEn,Macrophages_Bacteria_SalTy,Macrophages_Fungi_Af,Macrophages_Virus_IAV,Macrophages_Virus_SARSCoV2,Monocyte_Bacteria_Lmo,Monocyte_Virus_RSV,PBMCs_Fungi_Af,PBMCs_Protozoa_Pf,T_cell_Virus_HBV,T_cell_Virus_HIV1,hSAEC_Virus_RSV,Huh.7_Virus_HCV
TSPAN6,ENSG00000000003.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Down,Down
TNMD,ENSG00000000005.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
DPM1,ENSG00000000419.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SCYL3,ENSG00000000457.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/,/,/,/,/
C1orf112,ENSG00000000460.17,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/
FGR,ENSG00000000938.13,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Down,/,/,/,/,Up,/,Down,Up,/,/,/,Up,/
CFH,ENSG00000000971.17,Down,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,Up,/,/,Up,/,/,Up,/,Up,/
FUCA2,ENSG00000001036.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
GCLC,ENSG00000001084.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,Down,Up,/,/,/,/,/,Down,/
NFYA,ENSG00000001167.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
