"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002237","response to molecule of bacterial origin","140/1836","369/18870",5.98592422761846e-49,3.56701224723784e-45,2.25322789873301e-45,"VIM/TNFRSF1B/MAP2K3/STAP1/TNIP3/TAB2/SBNO2/PTGS2/FOSL2/NFKB2/EDN1/CXCL2/IL12RB2/CHMP5/P2RX7/JAK2/XBP1/CSF2RB/NFKBIA/MMP9/CD40/HCK/ACOD1/SLC7A5/RIPK2/NFKBIB/LILRB1/SERPINE1/AHR/CSF3/CCL2/NFKB1/IL10RA/CYP27B1/IL12B/WNT5A/PLSCR4/FOXP1/IL1A/KMO/GBP3/TNFSF4/TNFAIP3/CD274/GPR31/CD80/NR4A1/SLPI/CXCL6/PTGER2/IL1B/CCR7/NR1D1/TICAM1/ZFP36/CD68/LBP/ASS1/AKAP12/LILRB2/IDO1/SELENOS/GCH1/TRIM5/IRAK2/CMPK2/CDC73/IL6/IL10/IL36G/IL36RN/IL36B/DAB2IP/TLR2/CASP1/CXCL9/IRF8/IFNAR1/DUSP10/NFKBIZ/TNIP1/NOTCH1/ANKRD1/ADM/MMP3/NOCT/ADAM17/BMP6/GBP5/CXCL13/PTGIR/CCR5/GBP2/NLRP3/IL24/S100A9/CXCL3/CXCL5/CXCL1/ZC3H12A/CASP3/CSF2/ABCA1/GJB2/CASP7/B2M/NOD2/AXL/IL12A/TNIP2/CXCL10/CXCL11/PTAFR/CXCL8/PRKCE/PTGER4/CEBPB/MYD88/RELA/TRIB1/CNP/RPS6KA3/PDE4B/LITAF/CD55/ARID5A/SRC/PELI1/PDCD1LG2/TAP2/C4B/LTA/TNF/IRGM/TICAM2/LYN/CARD17P/MIR146A/MIR21/SOD2",140
"GO:0032496","response to lipopolysaccharide","135/1836","348/18870",1.57531673542867e-48,4.69365621320971e-45,2.96491191889101e-45,"VIM/TNFRSF1B/MAP2K3/STAP1/TNIP3/TAB2/SBNO2/PTGS2/FOSL2/NFKB2/EDN1/CXCL2/IL12RB2/CHMP5/P2RX7/JAK2/XBP1/CSF2RB/NFKBIA/MMP9/CD40/HCK/ACOD1/SLC7A5/RIPK2/NFKBIB/LILRB1/SERPINE1/CSF3/CCL2/NFKB1/IL10RA/CYP27B1/IL12B/WNT5A/PLSCR4/FOXP1/IL1A/KMO/GBP3/TNFSF4/TNFAIP3/CD274/CD80/NR4A1/SLPI/CXCL6/PTGER2/IL1B/CCR7/NR1D1/TICAM1/ZFP36/CD68/LBP/ASS1/AKAP12/LILRB2/IDO1/SELENOS/GCH1/TRIM5/IRAK2/CMPK2/CDC73/IL6/IL10/IL36G/IL36RN/IL36B/DAB2IP/TLR2/CASP1/CXCL9/IRF8/IFNAR1/DUSP10/NFKBIZ/TNIP1/NOTCH1/ANKRD1/ADM/MMP3/NOCT/ADAM17/BMP6/GBP5/CXCL13/PTGIR/CCR5/GBP2/NLRP3/IL24/S100A9/CXCL3/CXCL5/CXCL1/ZC3H12A/CASP3/CSF2/ABCA1/GJB2/CASP7/NOD2/AXL/IL12A/TNIP2/CXCL10/CXCL11/PTAFR/CXCL8/PRKCE/PTGER4/CEBPB/MYD88/RELA/TRIB1/CNP/RPS6KA3/PDE4B/LITAF/CD55/ARID5A/SRC/PELI1/PDCD1LG2/LTA/TNF/IRGM/TICAM2/LYN/CARD17P/MIR146A/MIR21/SOD2",135
"GO:0001819","positive regulation of cytokine production","163/1836","499/18870",8.71380928796981e-47,1.7308529849004e-43,1.09335375486947e-43,"POU2F2/EIF2AK2/BCL3/RORA/PANX2/PTGS2/TBX21/TXK/IL4R/PSEN1/IL12RB2/P2RX7/OAS1/CD200/JAK2/OSM/XBP1/HMOX1/CD40/FERMT1/RIOK3/TLR8/XIAP/SLC7A5/MEFV/RIPK2/IL7/GSDMD/LILRB1/EBI3/ZC3HAV1/NOD1/SERPINE1/RIGI/CCL1/DHX58/UNC93B1/PANX1/MDK/IL23A/OAS3/OAS2/IFNG/CD83/IL12B/PDE4D/SELENOK/WNT5A/HHLA2/FOXP1/IL1A/IFIH1/STAT1/IL1R1/IL1RL1/IL18R1/ARHGEF2/CD58/SLAMF1/F3/TNFSF4/MYB/NR4A3/CD274/EGR1/TNFRSF8/CD80/TWIST1/EREG/IRF1/IL1B/C3/FFAR2/CCR7/TRAF2/TICAM1/LBP/AKAP12/LILRB2/IDO1/RFTN1/CHI3L1/RSAD2/ANXA1/HILPDA/IL6/TANK/IL10/IRF4/RIPK1/TLR2/CASP1/THBS1/SEMA7A/LUM/ARRDC4/IRF8/TSLP/PTPRJ/IL18/ADAM17/MCOLN2/GBP5/BATF/RUNX1/NLRP3/IFI16/AIM2/RBM47/IL15/TLR3/CSF2/CGAS/SERPINB7/CLEC4E/B2M/NOD2/STAT3/IL12A/PTAFR/TRIM56/PTGER4/CEBPB/RASGRP1/CCL19/MYD88/RELA/SAA1/HEG1/SPHK1/ALOX15B/LACC1/IFNL1/PDE4B/TMEM106A/MAPK11/IRF7/FFAR3/PRG2/LILRA5/ISG15/KIR2DL4/IL1RAP/CD55/TLR7/ARID5A/SRC/IL27/PELI1/HSPA1B/HSPA1A/HLA-E/HLA-F/CRLF2/CLEC6A/HLA-A/LTA/TNF/TICAM2/MMP12/IKBKE/CCL3/MIR21",163
"GO:0009615","response to virus","143/1836","436/18870",2.68604250613029e-41,3.40915812874907e-38,2.15351383019169e-38,"POU2F2/EIF2AK2/TRAF3IP2/BCL3/TBX21/OAS1/JAK2/CD40/RIOK3/TLR8/PIM2/DNAJC3/ACOD1/CCL22/MEFV/LILRB1/ITGB8/GSDME/ZC3HAV1/PSMA2/RIGI/CCL8/DHX58/NFKB1/UNC93B1/IL23A/OAS3/OAS2/IFNG/IL12B/SELENOK/IFIH1/STAT1/GBP3/GBP1/TNFSF4/TNFAIP3/IFIT3/IFIT2/TRIM25/NT5C3A/NMI/BATF3/ZNFX1/ZBP1/IRF1/IL1B/IFI6/TICAM1/APOBEC3A/APOBEC3F/BST2/SHFL/TRIM21/TRIM5/TRIM22/RSAD2/OASL/IL6/RTP4/TANK/TLR2/DDX60/CASP1/IFI44L/IFI44/PARP9/HERC5/CXCL9/PML/NLRC5/PMAIP1/IFITM3/IFNAR1/HMGA2/IFIT5/GBP5/MOV10/MX1/IFNGR2/MORC3/ADAR/JAK1/GBP2/NLRP3/AZI2/IFI16/AIM2/DTX3L/ZC3H12A/IL15/TLR3/CGAS/IFI27/DDIT4/IRF2/MLKL/IL12A/CXCL10/TRIM56/STAT2/BCL2L1/BCL2/IFNB1/ISG20/CCL19/MYD88/RELA/FOSL1/APOBEC3B/PRF1/DDX60L/EXT1/IFNL1/MX2/USP18/IFITM2/MAPK11/IFNLR1/IRF7/IFIT1/IFITM1/ISG15/PLSCR1/TLR7/IL27/IFIT1B/MICB/TRIM31/GBP7/TREX1/IRF9/TNF/TRIM26/IRGM/APOBEC3G/TRIM34/MMP12/IKBKE/CCL5/CCL4/MIR146A/MIR21",143
"GO:0071222","cellular response to lipopolysaccharide","99/1836","226/18870",2.86051193887319e-41,3.40915812874907e-38,2.15351383019169e-38,"VIM/TNFRSF1B/MAP2K3/STAP1/TNIP3/SBNO2/CXCL2/CHMP5/JAK2/XBP1/NFKBIA/MMP9/CD40/HCK/ACOD1/SLC7A5/RIPK2/NFKBIB/LILRB1/SERPINE1/CSF3/CCL2/NFKB1/IL12B/WNT5A/PLSCR4/IL1A/KMO/GBP3/TNFSF4/TNFAIP3/CD274/CD80/CXCL6/IL1B/NR1D1/TICAM1/ZFP36/CD68/LBP/ASS1/LILRB2/SELENOS/TRIM5/IRAK2/CMPK2/CDC73/IL6/IL10/IL36G/IL36RN/IL36B/DAB2IP/TLR2/CASP1/CXCL9/IRF8/NFKBIZ/TNIP1/ANKRD1/MMP3/BMP6/GBP5/CXCL13/CCR5/GBP2/NLRP3/IL24/CXCL3/CXCL5/CXCL1/ZC3H12A/CSF2/ABCA1/CASP7/NOD2/AXL/TNIP2/CXCL10/CXCL11/PTAFR/CXCL8/PRKCE/MYD88/RELA/TRIB1/PDE4B/LITAF/CD55/ARID5A/SRC/PDCD1LG2/TNF/IRGM/TICAM2/LYN/CARD17P/MIR146A/MIR21",99
"GO:0071219","cellular response to molecule of bacterial origin","100/1836","239/18870",1.55772426039358e-39,1.54707981128089e-36,9.772670096785e-37,"VIM/TNFRSF1B/MAP2K3/STAP1/TNIP3/SBNO2/CXCL2/CHMP5/JAK2/XBP1/NFKBIA/MMP9/CD40/HCK/ACOD1/SLC7A5/RIPK2/NFKBIB/LILRB1/SERPINE1/AHR/CSF3/CCL2/NFKB1/IL12B/WNT5A/PLSCR4/IL1A/KMO/GBP3/TNFSF4/TNFAIP3/CD274/CD80/CXCL6/IL1B/NR1D1/TICAM1/ZFP36/CD68/LBP/ASS1/LILRB2/SELENOS/TRIM5/IRAK2/CMPK2/CDC73/IL6/IL10/IL36G/IL36RN/IL36B/DAB2IP/TLR2/CASP1/CXCL9/IRF8/NFKBIZ/TNIP1/ANKRD1/MMP3/BMP6/GBP5/CXCL13/CCR5/GBP2/NLRP3/IL24/CXCL3/CXCL5/CXCL1/ZC3H12A/CSF2/ABCA1/CASP7/NOD2/AXL/TNIP2/CXCL10/CXCL11/PTAFR/CXCL8/PRKCE/MYD88/RELA/TRIB1/PDE4B/LITAF/CD55/ARID5A/SRC/PDCD1LG2/TNF/IRGM/TICAM2/LYN/CARD17P/MIR146A/MIR21",100
"GO:0031349","positive regulation of defense response","146/1836","480/18870",7.28610826355501e-38,6.20255987750347e-35,3.91806363165003e-35,"BIRC3/STAP1/TNIP3/EIF2AK2/IFI35/PVR/PTGS2/TXK/CYLD/WDFY1/OAS1/LAG3/OSM/NFKBIA/CD40/HCK/RIOK3/TLR8/XIAP/ACOD1/TRADD/MEFV/RIPK2/GSDMD/CAV1/NOD1/SERPINE1/RIGI/CCL1/DHX58/UNC93B1/BIRC2/SLC15A3/MDK/IL23A/OAS3/IFNG/IL12B/WNT5A/IFIH1/IL1RL1/TNFSF4/TNFAIP3/TNFSF18/TRIM25/OPTN/NMI/ZNFX1/ZBP1/EREG/IRF1/IL1B/C3/FFAR2/CCR7/NR1D1/TICAM1/LBP/LDLR/NECTIN2/IDO1/RFTN1/NINJ1/TRIM5/IRAK2/RSAD2/ETS1/OASL/USP15/IL6/DAB2IP/IRF4/RIPK1/TLR2/DDX60/CASP1/PARP9/NLRC5/VAV1/NFKBIZ/TIFA/OSMR/TSLP/TNIP1/MFHAS1/IL18/EPG5/GBP5/PIK3AP1/GBP2/NLRP3/S100A9/IFI16/AIM2/RBM47/IL15/TLR3/CGAS/CLEC4E/NOD2/IL12A/TNIP2/TRIM56/FPR2/PRKCE/PTGER4/IFNB1/CEBPB/RASGRP1/MYD88/RELA/FOSL1/NUPR1/RPS6KA3/LACC1/IRF7/FFAR3/LILRA5/PLSCR1/KIR2DL4/TLR7/CASP4/SRC/PELI1/C2CD4A/HSPA1B/HSPA1A/HLA-E/TRIM31/HLA-F/C2CD4B/CLEC6A/LTA/TNF/IRGM/TICAM2/NEAT1/LYN/TRIL/MMP12/IKBKE/CCL5/CCL3/MIR146A/MIR22/MIR21",146
"GO:0050727","regulation of inflammatory response","135/1836","425/18870",2.63980975317481e-37,1.88531085209277e-34,1.19092246263215e-34,"BIRC3/TNFRSF1B/STAP1/TNC/SBNO2/IFI35/RORA/PTGS2/MGLL/CYLD/CD200/JAK2/OSM/PSMA6/NFKBIA/MMP9/HCK/XIAP/ELF4/ACOD1/TRADD/FOXF1/MEFV/GSDMD/HAMP/SERPINE1/AHR/CCL1/NFKB1/IL10RA/BIRC2/MDK/IL23A/IFNG/IL12B/BCL6/WNT5A/FOXP1/FNDC4/IL1R1/IL1RL1/TNFSF4/TNFAIP3/TNFSF18/GPR31/NMI/TNFAIP6/ZBP1/IL1B/C3/FFAR2/CCR7/NR1D1/ZFP36/ADORA2A/RHBDF2/LBP/LDLR/MAS1/IDO1/NINJ1/SELENOS/IL2RA/DAGLA/ETS1/ANXA1/NT5E/IL6/IL10/KLF4/RIPK1/IER3/TLR2/CASP1/CYP19A1/SEMA7A/SLC39A8/DUSP10/NFKBIZ/OSMR/PLK2/TSLP/TNIP1/MFHAS1/PTGES/MMP3/IL18/RABGEF1/PIK3AP1/NCF1/NLRP3/IL20/S100A9/AIM2/IL15/RICTOR/TLR3/LRFN5/NOD2/STAT3/FPR2/PTGER4/CEBPB/MYD88/RELA/SAA1/PTPN2/NUPR1/YES1/SPHK1/LACC1/SOCS3/USP18/FFAR3/LILRA5/TLR7/ADA/CASP4/SRC/C2CD4A/HLA-E/C2CD4B/MIR222/MIR221/TREX1/LTA/TNF/IRGM/NEAT1/LYN/CCL5/CCL3/MIR146A/MIR22/MIR21",135
"GO:0071216","cellular response to biotic stimulus","103/1836","265/18870",2.84742367323962e-37,1.88531085209277e-34,1.19092246263215e-34,"VIM/TNFRSF1B/MAP2K3/STAP1/HSPA5/TNIP3/SBNO2/CXCL2/CHMP5/JAK2/XBP1/NFKBIA/MMP9/CD40/HCK/ACOD1/SLC7A5/RIPK2/NFKBIB/LILRB1/SERPINE1/AHR/CSF3/CCL2/NFKB1/IL12B/WNT5A/PLSCR4/IL1A/KMO/GBP3/TNFSF4/TNFAIP3/CD274/CD80/CXCL6/IL1B/NR1D1/TICAM1/ZFP36/CD68/LBP/ASS1/LILRB2/SELENOS/TRIM5/IRAK2/CMPK2/CDC73/IL6/IL10/IL36G/IL36RN/IL36B/DAB2IP/TLR2/CASP1/CXCL9/IRF8/NFKBIZ/TNIP1/NOTCH1/ANKRD1/MMP3/BMP6/GBP5/CXCL13/PPP1R15B/CCR5/GBP2/NLRP3/IL24/CXCL3/CXCL5/CXCL1/ZC3H12A/CSF2/ABCA1/CASP7/NOD2/AXL/TNIP2/CXCL10/CXCL11/PTAFR/CXCL8/PRKCE/MYD88/RELA/TRIB1/PDE4B/LITAF/CD55/ARID5A/SRC/PDCD1LG2/TNF/IRGM/TICAM2/LYN/CARD17P/MIR146A/MIR21",103
"GO:0051607","defense response to virus","115/1836","334/18870",1.37053681015475e-35,8.16702885171215e-33,5.15898908748778e-33,"EIF2AK2/TRAF3IP2/OAS1/CD40/RIOK3/TLR8/DNAJC3/ACOD1/MEFV/LILRB1/ZC3HAV1/RIGI/DHX58/UNC93B1/IL23A/OAS3/OAS2/IFNG/IL12B/SELENOK/IFIH1/STAT1/GBP3/GBP1/TNFAIP3/IFIT3/IFIT2/TRIM25/NT5C3A/ZNFX1/ZBP1/IRF1/IL1B/IFI6/TICAM1/APOBEC3A/APOBEC3F/BST2/SHFL/TRIM21/TRIM5/TRIM22/RSAD2/OASL/IL6/RTP4/TANK/TLR2/DDX60/CASP1/IFI44L/PARP9/HERC5/CXCL9/PML/NLRC5/PMAIP1/IFITM3/IFIT5/GBP5/MOV10/MX1/IFNGR2/MORC3/ADAR/GBP2/AZI2/IFI16/AIM2/DTX3L/ZC3H12A/IL15/TLR3/CGAS/IFI27/DDIT4/IRF2/MLKL/CXCL10/TRIM56/STAT2/BCL2L1/BCL2/IFNB1/ISG20/MYD88/RELA/APOBEC3B/PRF1/DDX60L/IFNL1/MX2/USP18/IFITM2/IFNLR1/IRF7/IFIT1/IFITM1/ISG15/PLSCR1/TLR7/IL27/IFIT1B/MICB/TRIM31/GBP7/TREX1/IRF9/TNF/TRIM26/IRGM/APOBEC3G/TRIM34/MMP12/IKBKE",115
