"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","110/1035","298/9434",2.92244553644725e-33,9.70251918100488e-31,6.61395568774905e-31,"IL32/FAS/TNFRSF1B/TNFRSF9/NGFR/IL4R/CXCL2/IL12RB2/OSM/CSF2RB/CD40/TNFSF13B/CCL22/CCL17/IL21R/IL7/TNFRSF10A/EBI3/CSF3/CCL7/CCL2/CCL8/CCL1/IL10RA/IL23A/IFNG/IL12B/PRLR/LIFR/IL1A/CCL20/IL1R1/IL1RL1/IL18R1/TNFSF4/TNFSF18/TNFRSF8/TNFSF10/INHBA/IL17C/CXCL6/IL1B/TNFSF9/CD70/BMP2/CCR7/LIF/IL2RA/IL15RA/ACVR1B/IL6/IL10/IL36G/IL1RN/IL36RN/IL36B/CXCL9/IFNAR1/IL19/ACKR3/OSMR/TSLP/IL18/BMP6/CXCL13/IFNGR2/CXCR5/CCR5/IL20/IL24/BMP10/CXCL3/CXCL5/CXCL1/CCR1/IL15/CSF2/IL31RA/TNFRSF11B/IL7R/IL12A/CXCL10/CXCL11/CXCL8/IFNB1/CCL19/CLCF1/CCL13/TNFSF15/IFNL1/CSF1/IL3RA/IFNLR1/TNFRSF4/TNFRSF18/IL1RAP/IL27/BMPR2/CRLF2/LTA/TNF/CCL5/CCL23/CCL4/CCL18/CCL15/CCL4L2/CCL3L1/CCL14/CCL3",110
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","62/1035","119/9434",5.48839971018685e-29,9.11074351891017e-27,6.21055756679038e-27,"CASP10/CFLAR/BIRC3/FAS/TNFRSF1B/MAP2K3/TAB2/TRAF1/BCL3/PTGS2/EDN1/CXCL2/CYLD/ICAM1/NFKBIA/MMP9/JAG1/XIAP/TRADD/MAP3K8/CCL2/NFKB1/MAPK10/BIRC2/CCL20/IL18R1/AKT3/TNFAIP3/CXCL6/IRF1/IL1B/TRAF2/LIF/RHBDF2/IL6/DAB2IP/RIPK1/MMP3/ADAM17/MMP14/CXCL3/CXCL5/CXCL1/IL15/CASP3/CSF2/CASP7/NOD2/MLKL/CXCL10/JUNB/IFNB1/CEBPB/RELA/JUN/CSF1/SOCS3/MAPK11/MAP3K5/LTA/TNF/CCL5",62
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","77/1035","216/9434",2.28534614114735e-22,2.52911639620307e-20,1.724033053848e-20,"FAS/POU2F2/MAP2K3/HSPA5/TAB2/CAMK2A/CXCL2/ICAM1/JAK2/XBP1/NFKBIA/MMP9/CD40/PLCB4/TNFRSF10A/CCL2/NFKB1/MAPK10/IL12B/NFE2L2/NCF2/AKT3/PPP3CC/TNFSF10/IL1B/HSPA2/TRAF2/RAP1B/TICAM1/LBP/LDLR/CYP2J2/IL6/TANK/TLR2/CASP1/VAV1/POU2F1/MMP3/IL18/NCF1/VAV2/NLRP3/CXCL3/CXCL1/CASP3/ABCA1/CASP7/HSP90B1/STAT3/IL12A/CXCL8/BCL2L1/BCL2/IFNB1/MYD88/RELA/HSPA6/OLR1/JUN/ERN1/MAPK11/IRF7/MMP1/SRC/MAP3K5/CALM1/HSPA1B/HSPA1A/TNF/TICAM2/LYN/IKBKE/CCL5/CCL3L1/CCL3/SOD2",77
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","48/1035","100/9434",1.03264096646576e-20,8.5709200216658e-19,5.84257388921416e-19,"TNFRSF1B/CXCL2/CCL22/CCL17/TNFRSF10A/CCL7/CCL2/CCL8/CCL1/IL10RA/CCL20/IL18R1/TNFSF10/CXCL6/CCR7/IL2RA/IL6/IL10/CXCL9/IL19/ACKR3/IL18/CXCL13/CXCR5/CCR5/IL20/IL24/CXCL3/CXCL5/CXCL1/CCR1/CXCL10/CXCL11/CXCL8/CCL19/CCL13/CSF1/LTA/TNF/CCL5/CCL23/CCL4/CCL18/CCL15/CCL4L2/CCL3L1/CCL14/CCL3",48
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","68/1035","189/9434",4.0006924324342e-20,2.65645977513631e-18,1.81083973257548e-18,"BIRC3/TAB2/CXCL2/P2RX7/OAS1/ITPR3/NFKBIA/PLCB4/MAP1LC3A/XIAP/MEFV/RIPK2/GSDMD/NFKBIB/NAMPT/NOD1/CCL2/NFKB1/MAPK10/PANX1/BIRC2/OAS3/OAS2/STAT1/GBP3/GBP1/TNFAIP3/IL1B/RBCK1/TRAF2/TICAM1/IL6/TANK/TXN/RIPK1/CASP1/CASP5/IFNAR1/IL18/GBP5/JAK1/GBP2/GBP4/NLRP3/ANTXR2/IFI16/AIM2/CXCL3/CXCL1/NOD2/CXCL8/STAT2/MFN1/BCL2L1/BCL2/IFNB1/MYD88/RELA/JUN/MAPK11/IRF7/CASP4/GBP7/IRF9/TNF/IRGM/IKBKE/CCL5",68
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","62/1035","168/9434",4.3310384351215e-19,2.39650793410056e-17,1.63363730447565e-17,"IL4R/IL12RB2/JAK2/OSM/PDGFB/CSF2RB/IL21R/IL7/JAK3/CSF3/IL10RA/IL23A/IFNG/IL12B/PRLR/LIFR/CISH/STAT1/AKT3/SOCS2/CDKN1A/STAT5A/LIF/IL2RA/IL15RA/PDGFRA/IL6/IL10/MYC/PIM1/STAT4/EGF/IFNAR1/IL19/MCL1/OSMR/TSLP/IFNGR2/JAK1/IL20/IL24/IL15/CSF2/IL31RA/STAT3/IL7R/IL12A/STAT2/BCL2L1/BCL2/IFNB1/PTPN2/CLCF1/IFNL1/SOCS3/IL3RA/SOCS1/IFNLR1/IL27/PDGFA/CRLF2/IRF9",62
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","47/1035","105/9434",9.70879437273355e-19,4.60474247392505e-17,3.13893351900408e-17,"CFLAR/BIRC3/TAB2/TRAF1/PTGS2/NFKB2/CXCL2/CYLD/ICAM1/GADD45B/NFKBIA/CD40/XIAP/TNFSF13B/TRADD/RELB/RIGI/NFKB1/BIRC2/IL1R1/GADD45A/TNFAIP3/TRIM25/PLAU/IL1B/TRAF2/TICAM1/LBP/GADD45G/RIPK1/BCL2A1/CXCL3/CXCL1/CXCL8/BCL2L1/BCL2/CCL19/MYD88/RELA/CCL13/EDARADD/LTA/TNF/TICAM2/LYN/CCL4/CCL4L2",47
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","63/1035","182/9434",9.43944822223333e-18,3.91737101222683e-16,2.67037022076338e-16,"BIRC3/FAS/POU2F2/TAB2/EIF2AK2/SP100/PILRA/OAS1/JAK2/NFKBIA/TRADD/ZC3HAV1/RIGI/CCL2/NFKB1/BIRC2/OAS3/OAS2/IFNG/IL12B/IFIH1/STAT1/AKT3/IL1B/C3/TRAF2/TICAM1/NECTIN2/BST2/IL6/TLR2/PML/IFNAR1/POU2F1/IFNGR2/JAK1/CASP3/TLR3/CGAS/B2M/TAP1/IL12A/STAT2/BCL2L1/BCL2/IFNB1/MYD88/RELA/SOCS3/IRF7/SRC/TAP2/HLA-E/HLA-F/HLA-A/IRF9/LTA/TAPBP/TNF/HLA-DOB/ITGB3/IKBKE/CCL5",63
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","42/1035","95/9434",1.22434375169666e-16,4.51646806181433e-15,3.07875914169335e-15,"TAB2/TRAF3IP2/MAPK6/PTGS2/TRAF4/CXCL2/NFKBIA/MMP9/TRADD/CCL17/CSF3/CCL7/CCL2/NFKB1/MAPK10/IFNG/CCL20/TNFAIP3/IL17C/CXCL6/IL1B/FOSB/TRAF2/IL6/MMP3/S100A9/CXCL3/CXCL5/CXCL1/CASP3/CSF2/HSP90B1/CXCL10/CXCL8/CEBPB/RELA/FOSL1/JUN/MAPK11/MMP1/TNF/IKBKE",42
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","45/1035","112/9434",8.28547933652697e-16,2.75077913972696e-14,1.875134797214e-14,"BIRC3/MAP2K3/LAMA3/TAB2/LAMC2/LAMB1/JAK2/NFKBIA/CD40/XIAP/NFKBIB/PPIF/NFKB1/MAPK10/IL10RA/BIRC2/IFNG/IL12B/STAT1/AKT3/LDLR/LAMA5/IL10/TLR2/PIK3R5/IFNGR2/CCR5/JAK1/CASP3/STAT3/IL12A/BCL2L1/BCL2/MYD88/RELA/HSPA6/SOCS1/MAPK11/LAMA2/LAMB3/HSPA1B/HSPA1A/TNF/IRGM/HLA-DOB",45
