"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032496","response to lipopolysaccharide","21/193","348/18870",7.39318029720436e-11,2.29632180031168e-07,1.85529913984581e-07,"CD6/TNIP3/CXCL2/NFKBIA/RIPK2/IL10RA/TNFAIP3/CD80/CXCL6/CCR7/ZFP36/GCH1/IL10/IL36A/DUSP10/TNIP1/NOCT/PTGIR/ALPL/CXCL8/PDE4B",21
"GO:0002237","response to molecule of bacterial origin","21/193","369/18870",2.17837793188833e-10,3.38302092822258e-07,2.73329104716936e-07,"CD6/TNIP3/CXCL2/NFKBIA/RIPK2/IL10RA/TNFAIP3/CD80/CXCL6/CCR7/ZFP36/GCH1/IL10/IL36A/DUSP10/TNIP1/NOCT/PTGIR/ALPL/CXCL8/PDE4B",21
"GO:0001819","positive regulation of cytokine production","22/193","499/18870",9.21105414584441e-09,9.53651139233091e-06,7.70496599427827e-06,"CD6/CD74/RIPK2/EBI3/CCL1/IFIH1/STAT1/CD80/CCR7/RSAD2/IL10/IL36A/NLRP12/BATF/KIT/AIM2/IL15/ADORA2B/PDE4B/IL27/NOX5/MIR132",22
"GO:0050727","regulation of inflammatory response","20/193","425/18870",1.54472085248126e-08,1.1994757419517e-05,9.69109082188242e-06,"BIRC3/NFKBIA/CCL1/IL10RA/TNFAIP3/TNFAIP6/CCR7/ZFP36/IL10/SLC39A8/NLRP12/DUSP10/PLK2/TNIP1/NCF1/AIM2/IL15/ADORA2B/SOCS3/CD47",20
"GO:0007249","I-kappaB kinase/NF-kappaB signaling","16/193","300/18870",8.34062922835544e-08,4.40733110642239e-05,3.56087618453621e-05,"CFLAR/CD74/BIRC3/TNIP3/TRAF1/NFKBIA/RIPK2/STAT1/TNFAIP3/CCR7/SLC39A8/NLRP12/PLK2/TNIP1/IFIT5/REL",16
"GO:0071222","cellular response to lipopolysaccharide","14/193","226/18870",8.87317640797648e-08,4.40733110642239e-05,3.56087618453621e-05,"CD6/TNIP3/CXCL2/NFKBIA/RIPK2/TNFAIP3/CD80/CXCL6/ZFP36/IL10/IL36A/TNIP1/CXCL8/PDE4B",14
"GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","15/193","265/18870",9.93281318253598e-08,4.40733110642239e-05,3.56087618453621e-05,"CFLAR/CD74/BIRC3/TNIP3/TRAF1/RIPK2/STAT1/TNFAIP3/CCR7/SLC39A8/NLRP12/PLK2/TNIP1/IFIT5/REL",15
"GO:0071219","cellular response to molecule of bacterial origin","14/193","239/18870",1.76903406351615e-07,6.86827475160144e-05,5.54918053608223e-05,"CD6/TNIP3/CXCL2/NFKBIA/RIPK2/TNFAIP3/CD80/CXCL6/ZFP36/IL10/IL36A/TNIP1/CXCL8/PDE4B",14
"GO:0050863","regulation of T cell activation","17/193","381/18870",4.13859882344777e-07,0.000142438284521259,0.00011508213993245,"CD6/CD74/TNFRSF9/RIPK2/EBI3/CD80/TNFSF9/CD70/TNFSF14/CCR7/IL10/DUSP10/BATF/IL15/IL7R/CD47/IL27",17
"GO:0030098","lymphocyte differentiation","18/193","429/18870",4.58590742180485e-07,0.000142438284521259,0.00011508213993245,"CD74/TNFRSF9/KLF6/RIPK2/CD80/INHBA/TNFSF9/CCR7/RSAD2/IL15RA/IL10/DUSP10/BATF/KIT/IL15/IL7R/SOCS3/IL27",18
"GO:1903131","mononuclear cell differentiation","19/193","481/18870",5.42027771757636e-07,0.000153048932643565,0.000123654948121551,"CD74/TNFRSF9/KLF6/RIPK2/ITGB8/CD80/INHBA/TNFSF9/CCR7/RSAD2/IL15RA/IL10/DUSP10/BATF/KIT/IL15/IL7R/SOCS3/IL27",19
"GO:0071216","cellular response to biotic stimulus","14/193","265/18870",6.19237746851569e-07,0.000160279370143414,0.000129496735832819,"CD6/TNIP3/CXCL2/NFKBIA/RIPK2/TNFAIP3/CD80/CXCL6/ZFP36/IL10/IL36A/TNIP1/CXCL8/PDE4B",14
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","14/193","275/18870",9.63833476272564e-07,0.000230282059792506,0.000186054980359012,"CD6/CD74/CD44/RIPK2/EBI3/CD80/TNFSF9/CD70/TNFSF14/CCR7/DUSP10/IL15/IL7R/CD47",14
