"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","20/110","298/9434",1.74717480443512e-10,3.68653883735811e-08,3.12652333425232e-08,"TNFRSF9/CXCL2/EBI3/CCL1/IL10RA/INHBA/CXCL6/TNFSF9/CD70/TNFSF14/CCR7/IL15RA/IL10/IL1RN/IL36A/IL15/IL7R/CXCL8/TNFRSF18/IL27",20
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","13/110","189/9434",2.68840043986448e-07,2.83626246405702e-05,2.40541091987874e-05,"BIRC3/CXCL2/NFKBIA/RIPK2/NAMPT/STAT1/GBP1/TNFAIP3/TXN/CASP5/NLRP12/AIM2/CXCL8",13
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","9/110","119/9434",9.52271346588463e-06,0.000669764180433885,0.000568021504982592,"CFLAR/BIRC3/TRAF1/CXCL2/NFKBIA/TNFAIP3/CXCL6/IL15/SOCS3",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","8/110","100/9434",2.02228514616373e-05,0.00106675541460137,0.000904706512757457,"CXCL2/CCL1/IL10RA/CXCL6/TNFSF14/CCR7/IL10/CXCL8",8
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","8/110","105/9434",2.88757321975705e-05,0.00121855589873747,0.00103344725759726,"CFLAR/BIRC3/TRAF1/CXCL2/NFKBIA/TNFAIP3/TNFSF14/CXCL8",8
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","8/110","168/9434",0.000751075311048731,0.0264128151052137,0.0224004917330323,"IL10RA/STAT1/IL15RA/IL10/IL15/IL7R/SOCS3/IL27",8
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","8/110","173/9434",0.000909717891323329,0.0274214964384603,0.0232559460939798,"NFKBIA/IFIH1/STAT1/RSAD2/FDPS/CXCL8/MX2/SOCS3",8
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","7/110","142/9434",0.00132190903268607,0.0326483740335794,0.0276888180878448,"KEAP1/DUSP1/TXN/GSTO1/NCF1/CALM3/NPPC",7
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","4/110","42/9434",0.00139258467441808,0.0326483740335794,0.0276888180878448,"SLC11A2/SAT1/SLC39A8/ACSL1",4
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","8/110","193/9434",0.00183339915850796,0.038684722244518,0.0328081954680372,"CXCL2/NFKBIA/CCL1/STAT1/CXCL6/CCR7/NCF1/CXCL8",8
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","4/110","50/9434",0.00266801180825979,0.0511773174129833,0.0434030629094895,"CD80/IL15RA/IL10/IL15",4
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","5/110","95/9434",0.00496216781515354,0.0801132773069588,0.0679434130315939,"CXCL2/NFKBIA/TNFAIP3/CXCL6/CXCL8",5
