"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032496","response to lipopolysaccharide","74/738","348/18870",8.28262532184269e-34,4.18935188778803e-30,3.05149353962625e-30,"CD6/VIM/TNFRSF1B/MAP2K3/TNIP3/SBNO2/OTUD5/PTGS2/NFKB2/CXCL2/P2RX7/IRAK3/JAK2/XBP1/CSF2RB/NFKBIA/MMP9/CD40/HCK/ACOD1/SLC7A5/RIPK2/LILRB1/CCL2/NFKB1/IL10RA/IL1A/KMO/GBP3/TNFAIP3/CD274/CD80/CXCL6/PTGER2/IL1B/CCR7/TICAM1/ZFP36/IDO1/GCH1/TRIM5/IRAK2/CMPK2/IL6/IL10/IL36A/TLR2/CASP1/IRF8/DUSP10/NFKBIZ/TNIP1/ANKRD1/NOCT/GBP5/PTGIR/ALPL/GBP2/S100A9/CXCL3/ZC3H12A/CASP3/CXCL8/RELA/CNP/PDE4B/LITAF/CD55/ARID5A/SRC/PELI1/TNF/LYN/SOD2",74
"GO:0002237","response to molecule of bacterial origin","75/738","369/18870",7.25439789138194e-33,1.83463722673049e-29,1.33633645367562e-29,"CD6/VIM/TNFRSF1B/MAP2K3/TNIP3/SBNO2/OTUD5/PTGS2/NFKB2/CXCL2/P2RX7/IRAK3/JAK2/XBP1/CSF2RB/NFKBIA/MMP9/CD40/HCK/ACOD1/SLC7A5/RIPK2/LILRB1/CCL2/NFKB1/IL10RA/IL1A/KMO/GBP3/TNFAIP3/CD274/CD80/CXCL6/PTGER2/IL1B/CCR7/TICAM1/ZFP36/IDO1/GCH1/TRIM5/IRAK2/CMPK2/IL6/IL10/IL36A/TLR2/CASP1/IRF8/DUSP10/NFKBIZ/TNIP1/ANKRD1/NOCT/GBP5/PTGIR/ALPL/GBP2/S100A9/CXCL3/ZC3H12A/CASP3/B2M/CXCL8/RELA/CNP/PDE4B/LITAF/CD55/ARID5A/SRC/PELI1/TNF/LYN/SOD2",75
"GO:0071222","cellular response to lipopolysaccharide","55/738","226/18870",1.8413003704731e-28,3.10443242461765e-25,2.26124606900206e-25,"CD6/VIM/TNFRSF1B/MAP2K3/TNIP3/SBNO2/CXCL2/IRAK3/JAK2/XBP1/NFKBIA/MMP9/CD40/HCK/ACOD1/SLC7A5/RIPK2/LILRB1/CCL2/NFKB1/IL1A/KMO/GBP3/TNFAIP3/CD274/CD80/CXCL6/IL1B/TICAM1/ZFP36/TRIM5/IRAK2/CMPK2/IL6/IL10/IL36A/TLR2/CASP1/IRF8/NFKBIZ/TNIP1/ANKRD1/GBP5/GBP2/CXCL3/ZC3H12A/CXCL8/RELA/PDE4B/LITAF/CD55/ARID5A/SRC/TNF/LYN",55
"GO:0071219","cellular response to molecule of bacterial origin","55/738","239/18870",3.79668563839802e-27,4.8009089897543e-24,3.49694729852449e-24,"CD6/VIM/TNFRSF1B/MAP2K3/TNIP3/SBNO2/CXCL2/IRAK3/JAK2/XBP1/NFKBIA/MMP9/CD40/HCK/ACOD1/SLC7A5/RIPK2/LILRB1/CCL2/NFKB1/IL1A/KMO/GBP3/TNFAIP3/CD274/CD80/CXCL6/IL1B/TICAM1/ZFP36/TRIM5/IRAK2/CMPK2/IL6/IL10/IL36A/TLR2/CASP1/IRF8/NFKBIZ/TNIP1/ANKRD1/GBP5/GBP2/CXCL3/ZC3H12A/CXCL8/RELA/PDE4B/LITAF/CD55/ARID5A/SRC/TNF/LYN",55
"GO:0009615","response to virus","73/738","436/18870",2.02502550366778e-26,2.04851579951033e-23,1.49212405533416e-23,"ZMYND11/EIF2AK2/BCL3/OAS1/IRAK3/JAK2/HIF1A/CD40/PIM2/ACOD1/LILRB1/ITGB8/ZC3HAV1/RIGI/DHX58/NFKB1/IFIH1/STAT1/GBP3/GBP1/TNFAIP3/TRIM25/NT5C3A/BATF3/ZNFX1/ZBP1/IL1B/IFI6/TICAM1/APOBEC3F/SHFL/TRIM21/TRIM5/RSAD2/OASL/IL6/RTP4/TANK/TLR2/DDX60/CASP1/IFI44L/IFI44/PARP9/HERC5/PML/NLRC5/IFIT5/GBP5/MOV10/MX1/ADAR/JAK1/GBP2/AIM2/DTX3L/ZC3H12A/IL15/IFI27/IRF2/STAT2/BCL2L1/ISG20/RELA/DDX60L/EXT1/MX2/USP18/PLSCR1/IL27/TNF/APOBEC3G/CCL4",73
"GO:0071216","cellular response to biotic stimulus","56/738","265/18870",1.24983650302724e-25,1.05361217205196e-22,7.67443466771113e-23,"CD6/VIM/TNFRSF1B/MAP2K3/TNIP3/SBNO2/CXCL2/IRAK3/JAK2/XBP1/NFKBIA/MMP9/CD40/HCK/ACOD1/SLC7A5/RIPK2/LILRB1/CCL2/NFKB1/IL1A/KMO/GBP3/TNFAIP3/CD274/CD80/CXCL6/IL1B/TICAM1/ZFP36/TRIM5/IRAK2/CMPK2/IL6/IL10/IL36A/TLR2/CASP1/IRF8/NFKBIZ/TNIP1/ANKRD1/ATG10/GBP5/GBP2/CXCL3/ZC3H12A/CXCL8/RELA/PDE4B/LITAF/CD55/ARID5A/SRC/TNF/LYN",56
"GO:0051607","defense response to virus","61/738","334/18870",2.94840903624437e-24,2.130436129332e-21,1.5517942296023e-21,"ZMYND11/EIF2AK2/OAS1/CD40/ACOD1/LILRB1/ZC3HAV1/RIGI/DHX58/IFIH1/STAT1/GBP3/GBP1/TNFAIP3/TRIM25/NT5C3A/ZNFX1/ZBP1/IL1B/IFI6/TICAM1/APOBEC3F/SHFL/TRIM21/TRIM5/RSAD2/OASL/IL6/RTP4/TANK/TLR2/DDX60/CASP1/IFI44L/PARP9/HERC5/PML/NLRC5/IFIT5/GBP5/MOV10/MX1/ADAR/GBP2/AIM2/DTX3L/ZC3H12A/IL15/IFI27/IRF2/STAT2/BCL2L1/ISG20/RELA/DDX60L/MX2/USP18/PLSCR1/IL27/TNF/APOBEC3G",61
"GO:0140546","defense response to symbiont","61/738","335/18870",3.47571257480786e-24,2.19751927542227e-21,1.60065710681941e-21,"ZMYND11/EIF2AK2/OAS1/CD40/ACOD1/LILRB1/ZC3HAV1/RIGI/DHX58/IFIH1/STAT1/GBP3/GBP1/TNFAIP3/TRIM25/NT5C3A/ZNFX1/ZBP1/IL1B/IFI6/TICAM1/APOBEC3F/SHFL/TRIM21/TRIM5/RSAD2/OASL/IL6/RTP4/TANK/TLR2/DDX60/CASP1/IFI44L/PARP9/HERC5/PML/NLRC5/IFIT5/GBP5/MOV10/MX1/ADAR/GBP2/AIM2/DTX3L/ZC3H12A/IL15/IFI27/IRF2/STAT2/BCL2L1/ISG20/RELA/DDX60L/MX2/USP18/PLSCR1/IL27/TNF/APOBEC3G",61
"GO:0001819","positive regulation of cytokine production","74/738","499/18870",1.98628681685497e-23,1.11629319107249e-20,8.13099866548817e-21,"CD6/CD74/EIF2AK2/BCL3/PTGS2/IL4R/PSEN1/P2RX7/OAS1/IRAK3/JAK2/XBP1/HIF1A/CD40/SLC7A5/RIPK2/IL7/LILRB1/EBI3/ZC3HAV1/NOD1/RIGI/CCL1/DHX58/PANX1/CD83/PDE4D/IL1A/IFIH1/STAT1/SLAMF1/CD274/CD80/EREG/IL1B/FFAR2/CCR7/TICAM1/IDO1/RFTN1/CHI3L1/RSAD2/IL6/TANK/IL10/IL36A/TLR2/CASP1/IRF8/NLRP12/PTPRJ/MCOLN2/GBP5/BATF/KIT/RUNX1/AIM2/IL15/CLEC4E/B2M/STAT3/ADORA2B/RELA/PDE4B/ZP3/CD55/ARID5A/SRC/IL27/PELI1/CLEC6A/TNF/NOX5/MIR132",74
"GO:0045088","regulation of innate immune response","65/738","425/18870",2.07917840998555e-21,1.05164843977069e-18,7.66013098415728e-19,"BIRC3/TNIP3/EIF2AK2/IFI35/OAS1/IRAK3/NFKBIA/CD40/HCK/ACOD1/N4BP1/RIPK2/LILRB1/NOD1/RIGI/DHX58/BIRC2/SLC15A3/IFIH1/TNFAIP3/TRIM25/ZNFX1/ZBP1/EREG/FFAR2/TICAM1/NECTIN2/RFTN1/NINJ1/TRIM21/TRIM5/IRAK2/RSAD2/OASL/TRAFD1/USP15/TLR2/DDX60/CASP1/PARP9/NLRC5/DUSP10/NFKBIZ/TNIP1/EPG5/GBP5/PIK3AP1/NCF1/ADAR/GBP2/AIM2/CLEC4E/SERPINB9/STAT2/RELA/PARP14/PTPN2/USP18/PLSCR1/PTPN1/SRC/PELI1/CLEC6A/TNF/LYN",65
