TE,Clades,Rank,Species,Genome
MIR1_Amn,Amniota,1,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer,Monodelphis_domestica,Ornithorhynchus_anatinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1,MonDom5,OrnAna2"
MIR,Mammalia,2,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer,Monodelphis_domestica,Ornithorhynchus_anatinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1,MonDom5,OrnAna2"
MIR3,Mammalia,2,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer,Monodelphis_domestica,Ornithorhynchus_anatinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1,MonDom5,OrnAna2"
MIRb,Mammalia,2,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer,Monodelphis_domestica,Ornithorhynchus_anatinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1,MonDom5,OrnAna2"
MIRc,Mammalia,2,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer,Monodelphis_domestica,Ornithorhynchus_anatinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1,MonDom5,OrnAna2"
UCON33,Mammalia,2,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer,Monodelphis_domestica,Ornithorhynchus_anatinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1,MonDom5,OrnAna2"
MamRep434,Theria,3,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer,Monodelphis_domestica","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1,MonDom5"
BLACKJACK,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
L1MC4,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
L1ME4a,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
