TE,Taxa,Group
MIR1_Amn,Amniota,1
MIR,Mammalia,2
MIR3,Mammalia,2
MIRb,Mammalia,2
MIRc,Mammalia,2
UCON33,Mammalia,2
MamRep434,Theria,3
BLACKJACK,Eutheria,4
L1MC4,Eutheria,4
L1ME4a,Eutheria,4
L1MEd,Eutheria,4
LTR101_Mam,Eutheria,4
LTR40a,Eutheria,4
MamGypLTR2b,Eutheria,4
MamGypLTR3,Eutheria,4
MamRep38,Eutheria,4
MamTip3B,Eutheria,4
MER110A,Eutheria,4
MER58A,Eutheria,4
MER5B,Eutheria,4
MLT1C2-int,Eutheria,4
MLT1F,Eutheria,4
MLT1F2,Eutheria,4
L1MA10,Boreoeutheria,5
MLT1A-int,Boreoeutheria,5
L1MA9,Euarchontoglires,6
LTR54,Euarchontoglires,6
AluJr,Primates,7
LTR46-int,Primates,7
LTR73,Primates,7
Tigger3,Primates,7
AluSx,Haplorrhini,8
AluSx1,Haplorrhini,8
AluSz,Haplorrhini,8
L1P4d,Haplorrhini,8
L1PBb,Haplorrhini,8
LTR1D,Haplorrhini,8
LTR26,Haplorrhini,8
LTR27E,Haplorrhini,8
LTR36,Haplorrhini,8
LTR45,Haplorrhini,8
MER4-int,Haplorrhini,8
MER4A,Haplorrhini,8
MER61F,Haplorrhini,8
THE1B,Haplorrhini,8
THE1C-int,Haplorrhini,8
L1PA7,Simiiformes,9
L1PBa,Simiiformes,9
AluY,Catarrhini,10
HERV3-int,Catarrhini,10
HERV9NC-int,Catarrhini,10
HERVIP10FH-int,Catarrhini,10
L1PA3,Homininae,11
AluYg6,Homo sapiens,12
AluYk11,Homo sapiens,12
