Dataset,Sample_Name,Infection_State,Time_Point
Virus_EBV_2,Virus_EBV_2_Pre_SRR8514718,Pre,0d
Virus_EBV_2,Virus_EBV_2_Pre_SRR8514719,Pre,0d
Virus_EBV_2,Virus_EBV_2_Pre_SRR8514720,Pre,0d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514721,Post,2d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514722,Post,2d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514723,Post,2d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514724,Post,4d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514725,Post,4d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514726,Post,4d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514727,Post,7d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514728,Post,7d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514729,Post,7d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514730,Post,14d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514731,Post,14d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514732,Post,14d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514733,Post,21d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514734,Post,21d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514735,Post,21d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514736,Post,28d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514737,Post,28d
Virus_EBV_2,Virus_EBV_2_Post_SRR8514738,Post,28d
Virus_EBV_5,Virus_EBV_5_Pre_SRR12343768,Pre,0d
Virus_EBV_5,Virus_EBV_5_Pre_SRR12343769,Pre,0d
Virus_EBV_5,Virus_EBV_5_Post_SRR12343770,Post,2d
Virus_EBV_5,Virus_EBV_5_Post_SRR12343771,Post,2d
Virus_EBV_5,Virus_EBV_5_Post_SRR12343772,Post,7d
Virus_EBV_5,Virus_EBV_5_Post_SRR12343773,Post,7d
Virus_EBV_5,Virus_EBV_5_Post_SRR12343774,Post,21d
Virus_EBV_5,Virus_EBV_5_Post_SRR12343775,Post,21d
Fungi_Af_4,Fungi_Af_4_Pre_GSM3681964,Pre,0h
Fungi_Af_4,Fungi_Af_4_Pre_GSM3681965,Pre,0h
Fungi_Af_4,Fungi_Af_4_Pre_GSM3681966,Pre,0h
Fungi_Af_4,Fungi_Af_4_Post_GSM3681967,Post,2h
Fungi_Af_4,Fungi_Af_4_Post_GSM3681968,Post,2h
Fungi_Af_4,Fungi_Af_4_Post_GSM3681969,Post,2h
Fungi_Af_4,Fungi_Af_4_Post_GSM3681970,Post,6h
Fungi_Af_4,Fungi_Af_4_Post_GSM3681971,Post,6h
Fungi_Af_4,Fungi_Af_4_Post_GSM3681972,Post,6h
Fungi_Af_6,Fungi_Af_6_Pre_SRR2932928,Pre,0h
