chr1,start,end,TE_id,UniqPathogens,TE_location,class,family,feature,chr2,gene_start,gene_end,gene_width,strand,gene_info,distance,gene_name
chr1,1207834,1208126,AluSx_c1859,5,AluSx_chr1:1207835,SINE,Alu,intergenic,chr1,1203507,1206592,3085,-,ENSG00000186891.14,1243,TNFRSF18
chr1,1580342,1581246,LTR5_Hs_c2449,6,LTR5_Hs_chr1:1580343,LTR,ERVK,intergenic,chr1,1583509,1583909,400,-,ENSG00000274481.1,2264,ENSG00000274481
chr1,7911374,7911569,MIRb_c12763,5,MIRb_chr1:7911375,SINE,MIR,intergenic,chr1,7915870,7940839,24969,-,ENSG00000049249.10,4302,TNFRSF9
chr1,7912116,7912451,MER101_c12765,5,MER101_chr1:7912117,LTR,ERV1,intergenic,chr1,7915870,7940839,24969,-,ENSG00000049249.10,3420,TNFRSF9
chr1,7912451,7912712,AluSx3_c12766,5,AluSx3_chr1:7912452,SINE,Alu,intergenic,chr1,7915870,7940839,24969,-,ENSG00000049249.10,3159,TNFRSF9
chr1,7912865,7913475,LTR36_c12767,6,LTR36_chr1:7912866,LTR,ERV1,intergenic,chr1,7915870,7940839,24969,-,ENSG00000049249.10,2396,TNFRSF9
chr1,7914839,7915053,AluJb_c12771,6,AluJb_chr1:7914840,SINE,Alu,intergenic,chr1,7915870,7940839,24969,-,ENSG00000049249.10,818,TNFRSF9
chr1,7915063,7915373,AluSz6_c12772,5,AluSz6_chr1:7915064,SINE,Alu,intergenic,chr1,7915870,7940839,24969,-,ENSG00000049249.10,498,TNFRSF9
chr1,7915383,7915685,AluSx_c12773,5,AluSx_chr1:7915384,SINE,Alu,intergenic,chr1,7915870,7940839,24969,-,ENSG00000049249.10,186,TNFRSF9
chr1,16215462,16215744,AluSp_c32265,5,AluSp_chr1:16215463,SINE,Alu,intergenic,chr1,16215906,16217425,1519,-,ENSG00000291077.1,163,ENSG00000291077
chr1,21502036,21503512,SVA_C_c45407,6,SVA_C_chr1:21502037,Retroposon,SVA,intergenic,chr1,21509422,21578410,68988,+,ENSG00000162551.14,5911,ALPL
chr1,31450523,31452049,L1PB1_c72232,5,L1PB1_chr1:31450524,LINE,L1,intergenic,chr1,31409564,31434680,25116,+,ENSG00000168528.12,15844,SERINC2
chr1,31459370,31466684,HERVIP10F-int_c72243,6,HERVIP10F-int_chr1:31459371,LTR,ERV1,intergenic,chr1,31487588,31488930,1342,-,ENSG00000215899.3,20905,EEF1A1P46
chr1,32907420,32908195,L2_c76220,5,L2_chr1:32907421,LINE,L2,intergenic,chr1,32894594,32901389,6795,-,ENSG00000121900.19,6032,TMEM54
chr1,32914217,32915357,Tigger1_c76245,5,Tigger1_chr1:32914218,DNA,TcMar-Tigger,intergenic,chr1,32925453,32951638,26185,+,ENSG00000287691.1,10097,ENSG00000287691
chr1,39971628,39971941,AluSx_c93122,6,AluSx_chr1:39971629,SINE,Alu,intergenic,chr1,39955111,39969968,14857,+,ENSG00000168389.18,1661,MFSD2A
chr1,40361903,40362412,LTR33_c94234,5,LTR33_chr1:40361904,LTR,ERVL,intergenic,chr1,40364765,40365183,418,+,ENSG00000213172.3,2354,ENSG00000213172
chr1,43501255,43502976,SVA_D_c101472,5,SVA_D_chr1:43501256,Retroposon,SVA,intergenic,chr1,43530875,43623666,92791,+,ENSG00000142949.17,27900,PTPRF
chr1,44816033,44816327,AluSz6_c104421,5,AluSz6_chr1:44816034,SINE,Alu,intergenic,chr1,44808522,44815585,7063,+,ENSG00000222009.9,449,BTBD19
chr1,66416262,66416986,L1MA7_c153638,5,L1MA7_chr1:66416263,LINE,L1,intergenic,chr1,65792513,66374579,582066,+,ENSG00000184588.18,41684,PDE4B
chr1,66424814,66425774,LTR5_Hs_c153642,5,LTR5_Hs_chr1:66424815,LTR,ERVK,intergenic,chr1,65792513,66374579,582066,+,ENSG00000184588.18,50236,PDE4B
